model_key,config_label,ruleset,gen_temperature,gen_top_p,gen_repetition_penalty,gen_max_new_tokens,sari,bleu,fernandez_huerta_pred,fernandez_huerta_src,fernandez_huerta_delta,compression_ratio_eval,sentence_splits,levenshtein_similarity,exact_copy,additions_proportion,deletions_proportion,rouge1_f,rouge2_f,rougeL_f,inflesz_pred,inflesz_src,inflesz_delta,bertscore_f1,owner,leader_score,config_signature
llama3,llama3_cfg_3,R1,0.3,0.9,1.15,256.0,42.88005203397951,14.297969262780136,82.16516069618946,88.31434213016652,-6.149181433977059,0.8616919719454137,0.7,0.4655484214121569,0.0,0.3919254576744292,0.4814667466137095,0.4772117601436907,0.2841981347718528,0.4172461243965146,64.3554830922927,51.98361474783032,12.371868344462367,0.8071358233690262,hariel,58.01346415514875,hariel | llama3 | llama3_cfg_3 | R1 | temp=0.3 | top_p=0.9 | rep=1.15 | max_new=256.0
llama3,llama3_cfg_2,R2,0.7,0.9,1.1,512.0,42.96987913128967,15.394757222529725,84.19294375013531,88.31434213016652,-4.121398380031192,0.7817100428746103,0.3,0.490717867783478,0.0,0.3526258462040196,0.502510741125859,0.4798499404332563,0.2833028670052916,0.3987818815649341,66.2266516855715,51.98361474783032,14.243036937741168,0.8053229928016663,nancy,57.99484719084045,nancy | llama3 | llama3_cfg_2 | R2 | temp=0.7 | top_p=0.9 | rep=1.1 | max_new=512.0
llama3,llama3_cfg_2,R0,0.2,0.9,1.1,256.0,43.08027946604526,15.378169002151598,81.42422618286687,88.31434213016652,-6.890115947299631,0.8077180211135069,0.7,0.5235368259370501,0.0,0.3251931238842117,0.4699780249577155,0.4899883371195869,0.2999048431343014,0.4116650635964948,66.51750535034076,51.98361474783032,14.53389060251043,0.8030352979898453,hariel,57.969579599220964,hariel | llama3 | llama3_cfg_2 | R0 | temp=0.2 | top_p=0.9 | rep=1.1 | max_new=256.0
llama3,llama3_cfg_2,R1,0.7,0.9,1.1,512.0,42.769451353632896,14.955278527176093,83.765191851528,88.31434213016652,-4.549150278638505,0.7615295391877365,0.55,0.4817103771160398,0.0,0.3389313650709224,0.5001751480397315,0.4679459393089236,0.2863155795439156,0.4189759324039953,69.12103578905351,51.98361474783032,17.137421041223185,0.8003803998231888,nancy,57.67688680510729,nancy | llama3 | llama3_cfg_2 | R1 | temp=0.7 | top_p=0.9 | rep=1.1 | max_new=512.0
llama3,llama3_cfg_1,R2,0.2,0.85,1.05,256.0,42.21884190532101,17.534298908494026,86.00071226383713,88.31434213016652,-2.3136298663293844,0.7612649065859755,0.65,0.5437165249293112,0.0,0.2645336484234662,0.4434086059520571,0.4979840410787323,0.318418106154654,0.4435579469464026,71.51963942834352,51.98361474783032,19.5360246805132,0.807976508140564,hariel,57.65036546881517,hariel | llama3 | llama3_cfg_1 | R2 | temp=0.2 | top_p=0.85 | rep=1.05 | max_new=256.0
llama3,llama3_cfg_1,R4,0.2,0.85,1.05,256.0,41.43560146880776,15.959837122909132,85.39564721656053,88.31434213016652,-2.918694913605976,0.7861525074759517,0.8,0.5234478335186513,0.0,0.2902116193060465,0.4497171319691482,0.4921496050894626,0.2908805499260075,0.4210036576064361,71.68793042580486,51.98361474783032,19.70431567797453,0.8058062970638276,hariel,57.093612763837754,hariel | llama3 | llama3_cfg_1 | R4 | temp=0.2 | top_p=0.85 | rep=1.05 | max_new=256.0
llama3,llama3_cfg_1,R0,0.3,0.9,1.15,256.0,41.54037085876743,13.59832948695758,82.67534129872686,88.31434213016652,-5.639000831439656,0.8388591938599541,0.6,0.4944011161022595,0.0,0.3780197686655487,0.4947780310652276,0.4574211013927868,0.2692130379102038,0.377288737575526,65.49658042467267,51.98361474783032,13.512965676842343,0.801238602399826,nancy,56.973766611253495,nancy | llama3 | llama3_cfg_1 | R0 | temp=0.3 | top_p=0.9 | rep=1.15 | max_new=256.0
llama3,llama3_cfg_1,R4,0.3,0.9,1.15,256.0,42.0082176234225,13.87519698053932,85.33595559295009,88.31434213016652,-2.978386537216424,0.7961064111677782,0.55,0.4558095551874972,0.0,0.4254722235986333,0.5507575157597245,0.4261582577165598,0.2505376988409521,0.3638772984776774,69.67743727202533,51.98361474783032,17.693822524194996,0.7934622526168823,nancy,56.9434206787288,nancy | llama3 | llama3_cfg_1 | R4 | temp=0.3 | top_p=0.9 | rep=1.15 | max_new=256.0
llama3,llama3_cfg_3,R0,0.3,0.9,1.15,256.0,41.65815919710591,13.296023093839812,84.07181494608304,88.31434213016652,-4.242527184083465,0.8024354731851882,0.6,0.513709851482117,0.0,0.3627275650416154,0.4939056679606519,0.4674941467113434,0.2670963640600107,0.3789773300413516,68.83008093890496,51.98361474783032,16.846466191074633,0.7972139269113541,hariel,56.88345259471771,hariel | llama3 | llama3_cfg_3 | R0 | temp=0.3 | top_p=0.9 | rep=1.15 | max_new=256.0
llama3,llama3_cfg_2,R1,0.2,0.9,1.1,256.0,41.37178814096412,13.733112464346556,83.20253188826139,88.31434213016652,-5.111810241905129,0.7737915022024998,0.55,0.5098485316669394,0.0,0.3484060509708729,0.5027846397588197,0.464177513267084,0.2738312107486281,0.3915995437753056,68.27610083712514,51.98361474783032,16.292486089294805,0.7989408910274506,hariel,56.780708525676495,hariel | llama3 | llama3_cfg_2 | R1 | temp=0.2 | top_p=0.9 | rep=1.1 | max_new=256.0
llama3,llama3_cfg_1,R3,0.3,0.9,1.15,256.0,41.69825880216716,12.348385300932298,83.0942082181713,88.31434213016652,-5.220133911995211,0.8142891930015159,0.8,0.4542181413276775,0.0,0.4120649070737741,0.5335880052086204,0.4245430178709702,0.2431423132163475,0.3603486702927415,70.13875426646054,51.98361474783032,18.15513951863021,0.7900530844926834,nancy,56.62107866100763,nancy | llama3 | llama3_cfg_1 | R3 | temp=0.3 | top_p=0.9 | rep=1.15 | max_new=256.0
llama3,llama3_cfg_1,R1,0.2,0.85,1.05,256.0,40.85811609323928,15.578270266996544,83.06304233577269,88.31434213016652,-5.251299794393817,0.7634245585994289,0.65,0.5484689491071879,0.0,0.300490855961232,0.47568393669076,0.4691214296112136,0.290455066285738,0.4058185711739166,68.21549514616237,51.98361474783032,16.231880398332045,0.8025255411863327,hariel,56.61589130339688,hariel | llama3 | llama3_cfg_1 | R1 | temp=0.2 | top_p=0.85 | rep=1.05 | max_new=256.0
llama3,llama3_cfg_3,R2,0.3,0.9,1.15,256.0,41.3867455038005,12.659063906895977,81.61615573868502,88.31434213016652,-6.69818639148148,0.8022158742463255,0.65,0.4618323988919776,0.0,0.4004836675189355,0.5275522359759705,0.4394946532217373,0.2490831966351216,0.3682052657859661,67.96877470883653,51.98361474783032,15.985159961006204,0.7943775206804276,hariel,56.6071481294974,hariel | llama3 | llama3_cfg_3 | R2 | temp=0.3 | top_p=0.9 | rep=1.15 | max_new=256.0
llama3,llama3_cfg_1,R3,0.2,0.85,1.05,256.0,40.88539978653409,15.258564715744594,86.7905103849703,88.31434213016652,-1.523831745196209,0.7462179903639294,0.7,0.5249708981857104,0.0,0.2897024643213624,0.4767054344415792,0.4727441644192012,0.2829900666831393,0.4035278324285903,73.18270138068995,51.98361474783032,21.199086632859625,0.8002779394388199,hariel,56.54235744947324,hariel | llama3 | llama3_cfg_1 | R3 | temp=0.2 | top_p=0.85 | rep=1.05 | max_new=256.0
llama3,llama3_cfg_2,R3,0.2,0.9,1.1,256.0,41.1142412574468,13.818543812281757,81.77608157537338,88.31434213016652,-6.538260554793132,0.7497849717478541,0.6,0.4967948416801657,0.0,0.3699313429518537,0.5302855372877844,0.4513923626994127,0.2790603470457758,0.380980342909617,69.20010135735582,51.98361474783032,17.216486609525496,0.7968443125486374,hariel,56.542317256413575,hariel | llama3 | llama3_cfg_2 | R3 | temp=0.2 | top_p=0.9 | rep=1.1 | max_new=256.0
llama3,llama3_cfg_2,R2,0.2,0.9,1.1,256.0,41.21908985852456,13.408150332668072,83.175335562905,88.31434213016652,-5.139006567261513,0.7915597223524021,0.6,0.4822346856737287,0.0,0.3877770124151169,0.5267025641967392,0.459836810095836,0.257257169593742,0.3825687219135483,68.49692250261934,51.98361474783032,16.513307754789018,0.7923703998327255,hariel,56.42626990842376,hariel | llama3 | llama3_cfg_2 | R2 | temp=0.2 | top_p=0.9 | rep=1.1 | max_new=256.0
llama3,llama3_cfg_1,R0,0.2,0.85,1.05,256.0,40.14186194745093,15.4302957487556,87.04980531989608,88.31434213016652,-1.2645368102704395,0.7652340713525766,0.6,0.5570164519196841,0.0,0.2470640621809439,0.4282078701293308,0.4965897857960201,0.2960888725700343,0.4227934674427918,72.07219812783107,51.98361474783032,20.08858338000075,0.8080211013555527,hariel,56.40596122269267,hariel | llama3 | llama3_cfg_1 | R0 | temp=0.2 | top_p=0.85 | rep=1.05 | max_new=256.0
llama3,llama3_cfg_1,R1,0.3,0.9,1.15,256.0,40.9088366195153,13.424919408827453,81.44800852678051,88.31434213016652,-6.866333603385991,0.8005275037641244,0.75,0.4945298625202438,0.0,0.4114589334825979,0.5373713183116555,0.4547625147858877,0.2600102331368735,0.3723308572180241,67.139741628929,51.98361474783032,15.156126881098682,0.7948837429285049,nancy,56.34065168884938,nancy | llama3 | llama3_cfg_1 | R1 | temp=0.3 | top_p=0.9 | rep=1.15 | max_new=256.0
