model_key,config_label,ruleset,gen_temperature,gen_top_p,gen_repetition_penalty,gen_max_new_tokens,sari,bleu,fernandez_huerta_pred,fernandez_huerta_src,fernandez_huerta_delta,compression_ratio_eval,sentence_splits,levenshtein_similarity,exact_copy,additions_proportion,deletions_proportion,rouge1_f,rouge2_f,rougeL_f,inflesz_pred,inflesz_src,inflesz_delta,bertscore_f1,owner,leader_score,config_signature
llama3,llama3_cfg_3,R1,0.3,0.9,1.15,256.0,42.88005203397951,14.297969262780136,82.16516069618946,88.31434213016652,-6.149181433977059,0.8616919719454137,0.7,0.4655484214121569,0.0,0.3919254576744292,0.4814667466137095,0.4772117601436907,0.2841981347718528,0.4172461243965146,64.3554830922927,51.98361474783032,12.371868344462367,0.8071358233690262,hariel,58.01346415514875,hariel | llama3 | llama3_cfg_3 | R1 | temp=0.3 | top_p=0.9 | rep=1.15 | max_new=256.0
llama3,llama3_cfg_2,R0,0.2,0.9,1.1,256.0,43.08027946604526,15.378169002151598,81.42422618286687,88.31434213016652,-6.890115947299631,0.8077180211135069,0.7,0.5235368259370501,0.0,0.3251931238842117,0.4699780249577155,0.4899883371195869,0.2999048431343014,0.4116650635964948,66.51750535034076,51.98361474783032,14.53389060251043,0.8030352979898453,hariel,57.969579599220964,hariel | llama3 | llama3_cfg_2 | R0 | temp=0.2 | top_p=0.9 | rep=1.1 | max_new=256.0
llama3,llama3_cfg_1,R2,0.2,0.85,1.05,256.0,42.21884190532101,17.534298908494026,86.00071226383713,88.31434213016652,-2.3136298663293844,0.7612649065859755,0.65,0.5437165249293112,0.0,0.2645336484234662,0.4434086059520571,0.4979840410787323,0.318418106154654,0.4435579469464026,71.51963942834352,51.98361474783032,19.5360246805132,0.807976508140564,hariel,57.65036546881517,hariel | llama3 | llama3_cfg_1 | R2 | temp=0.2 | top_p=0.85 | rep=1.05 | max_new=256.0
mistral,mistral_cfg_3,R0,0.2,0.85,1.1,256.0,40.06689458391271,13.214296314155382,81.93884073650807,88.31434213016652,-6.375501393658442,1.2264201009469695,0.75,0.4682895490287803,0.0,0.4302551863561057,0.3634367479446149,0.4708245344297042,0.2747594890025885,0.4147076216356878,58.04043978675637,51.98361474783032,6.056825038926043,0.7998507112264633,hariel,56.03416519940616,hariel | mistral | mistral_cfg_3 | R0 | temp=0.2 | top_p=0.85 | rep=1.1 | max_new=256.0
mistral,mistral_cfg_1,R4,0.3,0.9,1.1,256.0,40.401948453576125,13.345581871532394,82.63374116734614,88.31434213016652,-5.680600962820366,1.4098162426116536,0.6,0.4660875488790032,0.0,0.4775688802695748,0.331331488180092,0.4561894429900812,0.2624161203690293,0.4054921640504988,49.87604262069421,51.98361474783032,-2.1075721271361245,0.7948023200035095,hariel,56.033261872286054,hariel | mistral | mistral_cfg_1 | R4 | temp=0.3 | top_p=0.9 | rep=1.1 | max_new=256.0
mistral,mistral_cfg_2,R3,0.1,0.85,1.1,256.0,40.43446422090676,12.624830185713275,82.89577243302979,88.31434213016652,-5.4185696971367205,1.559628621039383,0.8,0.380055687277568,0.0,0.4949522245131215,0.3546825974354698,0.4345417778156856,0.2408328090226218,0.3753569837715756,55.99994397301016,51.98361474783032,4.016329225179829,0.7913865834474564,hariel,55.91614187044231,hariel | mistral | mistral_cfg_2 | R3 | temp=0.1 | top_p=0.85 | rep=1.1 | max_new=256.0
llama3,llama3_cfg_2,R2,0.7,0.9,1.1,512.0,42.96987913128967,15.394757222529725,84.19294375013531,88.31434213016652,-4.121398380031192,0.7817100428746103,0.3,0.490717867783478,0.0,0.3526258462040196,0.502510741125859,0.4798499404332563,0.2833028670052916,0.3987818815649341,66.2266516855715,51.98361474783032,14.243036937741168,0.8053229928016663,nancy,57.99484719084045,nancy | llama3 | llama3_cfg_2 | R2 | temp=0.7 | top_p=0.9 | rep=1.1 | max_new=512.0
llama3,llama3_cfg_2,R1,0.7,0.9,1.1,512.0,42.769451353632896,14.955278527176093,83.765191851528,88.31434213016652,-4.549150278638505,0.7615295391877365,0.55,0.4817103771160398,0.0,0.3389313650709224,0.5001751480397315,0.4679459393089236,0.2863155795439156,0.4189759324039953,69.12103578905351,51.98361474783032,17.137421041223185,0.8003803998231888,nancy,57.67688680510729,nancy | llama3 | llama3_cfg_2 | R1 | temp=0.7 | top_p=0.9 | rep=1.1 | max_new=512.0
llama3,llama3_cfg_1,R0,0.3,0.9,1.15,256.0,41.54037085876743,13.59832948695758,82.67534129872686,88.31434213016652,-5.639000831439656,0.8388591938599541,0.6,0.4944011161022595,0.0,0.3780197686655487,0.4947780310652276,0.4574211013927868,0.2692130379102038,0.377288737575526,65.49658042467267,51.98361474783032,13.512965676842343,0.801238602399826,nancy,56.973766611253495,nancy | llama3 | llama3_cfg_1 | R0 | temp=0.3 | top_p=0.9 | rep=1.15 | max_new=256.0
mistral,mistral_cfg_1,R2,0.7,0.9,1.1,512.0,39.75438615696171,12.575512303724189,83.29479169822318,88.31434213016652,-5.019550431943336,1.4617311585553838,0.55,0.4103221939919315,0.0,0.4485265719144523,0.3322390281182239,0.4372250588459721,0.2395803731756003,0.3868437624717794,51.97902289297223,51.98361474783032,-0.0045918548581006,0.7856744766235352,nancy,55.27961075911843,nancy | mistral | mistral_cfg_1 | R2 | temp=0.7 | top_p=0.9 | rep=1.1 | max_new=512.0
mistral,mistral_cfg_2,R0,0.3,0.9,1.15,400.0,39.438461571423225,12.28133591851176,79.99607978867398,88.31434213016652,-8.318262341492531,1.313032512822764,1.0,0.4226476060509213,0.0,0.4735186310703426,0.3700848822186808,0.4502084787947525,0.2581790339275013,0.388034280519814,56.65801115887977,51.98361474783032,4.6743964110494485,0.7861147403717041,nancy,55.1076665577221,nancy | mistral | mistral_cfg_2 | R0 | temp=0.3 | top_p=0.9 | rep=1.15 | max_new=400.0
