model_key,prompt_type,ruleset,gen_temperature,gen_top_p,gen_repetition_penalty,gen_max_new_tokens,sari,bleu,fernandez_huerta_pred,fernandez_huerta_src,fernandez_huerta_delta,compression_ratio_eval,sentence_splits,levenshtein_similarity,exact_copy,additions_proportion,deletions_proportion,rouge1_f,rouge2_f,rougeL_f,inflesz_pred,inflesz_src,inflesz_delta,bertscore_f1
llama3,few-shot,R4,0.1,0.85,1.05,256.0,40.26803006562508,15.682105831932507,87.511575126611,88.31434213016652,-0.8027670035555119,0.765024319123335,0.6,0.5354890821407665,0.0,0.28642079637775475,0.4582542845105575,0.47736205354344535,0.2870221543155083,0.4102762830956694,72.86995044288302,51.98361474783032,20.886335695052697,0.8001581609249115
llama3,few-shot,R4,0.1,0.85,1.1,256.0,40.49699995446227,12.508456918129287,83.17560907071211,88.31434213016652,-5.138733059454399,0.7590806676223303,0.55,0.4755831567526642,0.0,0.39002156673420874,0.5273902104167242,0.43548562341401365,0.24155143916319483,0.35615433885183684,69.43618742299513,51.98361474783032,17.45257267516481,0.7904617995023727
llama3,few-shot,R4,0.1,0.85,1.15,256.0,41.35537079424244,14.723652826137279,83.386716046415,88.31434213016652,-4.927626083751504,0.7689470855742061,0.55,0.48666365016747565,0.0,0.4062070081634026,0.5468668303429514,0.43274792002109097,0.26329251465692016,0.36849756288671254,69.32962013723807,51.98361474783032,17.346005389407736,0.7911545813083649
llama3,few-shot,R4,0.1,0.9,1.05,256.0,42.7604893243189,18.31543830922851,86.60122732912794,88.31434213016652,-1.7131148010385686,0.7826597205873023,0.7,0.5183146869703025,0.0,0.2742435992562767,0.43957726048703866,0.5130885231350228,0.3265999036175221,0.4450964465151254,72.28878981528109,51.98361474783032,20.305175067450755,0.8106516182422638
llama3,few-shot,R4,0.1,0.9,1.1,256.0,40.96332634682304,14.599262292447388,84.59476861101132,88.31434213016652,-3.7195735191551913,0.7458789216682133,0.55,0.47848616395806187,0.0,0.38456933550651773,0.5351906113304272,0.43000895145529344,0.2593685439753786,0.37421650856575367,71.20128289831028,51.98361474783032,19.217668150479955,0.7940278083086014
llama3,few-shot,R4,0.1,0.9,1.15,256.0,41.4118776267366,14.492050135968483,82.8174894588968,88.31434213016652,-5.496852671269708,0.7735316280206488,0.6,0.45995493658502945,0.0,0.42004989931735254,0.5579604958646301,0.43412634627184277,0.25545856575728054,0.3633019275954643,68.65341960693242,51.98361474783032,16.66980485910209,0.7948033839464188
llama3,few-shot,R4,0.2,0.85,1.05,256.0,43.73648057987092,19.99176434348242,85.59853209226274,88.31434213016652,-2.7158100379037626,0.7358836351989996,0.6,0.5028486337610107,0.0,0.27648541101714474,0.4553371306291044,0.48885468291390266,0.32732413669584,0.42784478454982516,71.96828071348158,51.98361474783032,19.984665965651253,0.8009556621313095
llama3,few-shot,R4,0.2,0.85,1.1,256.0,41.9706403817582,12.659301517030169,82.67763050674816,88.31434213016652,-5.636711623418352,0.784900984371242,0.65,0.49094370344893257,0.0,0.37885873699099315,0.50707368348896,0.4493527005675368,0.25654695791379795,0.3613111382133246,69.18052738371452,51.98361474783032,17.196912635884182,0.7967814028263092
llama3,few-shot,R4,0.2,0.85,1.15,256.0,40.95499111439607,12.854917323591442,81.65002202225307,88.31434213016652,-6.664320107913449,0.7990724829641226,0.55,0.4837481968233649,0.0,0.3753736549827881,0.5215092124928505,0.45170345656697697,0.2593685564095643,0.3780339767541714,66.37734578155835,51.98361474783032,14.393731033728026,0.795048189163208
llama3,few-shot,R4,0.2,0.9,1.05,256.0,42.43408227222138,17.37471604639464,83.90285610482594,88.31434213016652,-4.4114860253405705,0.7615922998726086,0.65,0.5206719734994806,0.0,0.3196854618725812,0.4686413244200625,0.4676272813701717,0.29368971802706595,0.42303175479390365,69.94321717433607,51.98361474783032,17.95960242650575,0.8022126644849777
llama3,few-shot,R4,0.2,0.9,1.1,256.0,43.60999609249525,17.464021965144646,83.85642648595426,88.31434213016652,-4.457915644212248,0.7656350535057435,0.55,0.4643291868390542,0.0,0.3680462521941629,0.5146523714809043,0.4664281785750905,0.3035896387597987,0.41354342634089597,69.83200654935571,51.98361474783032,17.848391801525377,0.8027921468019485
llama3,few-shot,R4,0.2,0.9,1.15,256.0,42.53665213123669,14.394944763960032,81.43947763480347,88.31434213016652,-6.8748644953630444,0.7799805092806849,0.75,0.4855904300701175,0.0,0.4365270309037107,0.5580604963001525,0.4452725426243944,0.2707632446314615,0.3839806753111926,67.52803449521458,51.98361474783032,15.54441974738425,0.7994209587574005
llama3,few-shot,R4,0.3,0.85,1.05,256.0,40.15227625881853,14.890534462919424,86.27769410252652,88.31434213016652,-2.036648027639984,0.7779364013137553,0.7,0.5161458324418416,0.0,0.27683877298149157,0.4402564614012908,0.4780950255282489,0.28451191532604786,0.3997534634133363,72.18166645308433,51.98361474783032,20.198051705254013,0.801127427816391
llama3,few-shot,R4,0.3,0.85,1.1,256.0,40.37186892916199,13.601983080083873,82.69659214222118,88.31434213016652,-5.617749987945338,0.75436641353529,0.5,0.505771360716819,0.0,0.36426091488571205,0.50998617513628,0.44002649801661475,0.2520968624173302,0.3656696365475673,67.70737573931429,51.98361474783032,15.723760991483957,0.788235342502594
llama3,few-shot,R4,0.3,0.85,1.15,256.0,40.75907089190029,13.648264252297414,82.81653042462757,88.31434213016652,-5.497811705538946,0.8040485486944158,0.6,0.4929443071814051,0.0,0.41415500567203534,0.5343339117626336,0.4468055803464206,0.26274690890548885,0.38637089944832886,67.36679249996743,51.98361474783032,15.383177752137112,0.7982542484998703
llama3,few-shot,R4,0.3,0.9,1.05,256.0,42.49636405760368,18.077351130114145,84.84711299012857,88.31434213016652,-3.467229140037946,0.7255377906826344,0.55,0.5179166740342849,0.0,0.30504446723861894,0.49245648766080014,0.4748609488063777,0.3111640723505619,0.4233312233588933,70.7568838470041,51.98361474783032,18.773269099173785,0.801369845867157
llama3,few-shot,R4,0.3,0.9,1.1,256.0,40.06298357197129,13.401622599172024,84.94714154543811,88.31434213016652,-3.3672005847283955,0.7476411453297832,0.55,0.4849213717411313,0.0,0.37363257111621084,0.5181941015399315,0.4303150321689174,0.24791543761714901,0.3687369632381182,72.00923145142933,51.98361474783032,20.02561670359901,0.7930576920509338
llama3,few-shot,R4,0.3,0.9,1.15,256.0,42.99421935087238,16.40661172186486,80.3537693230659,88.31434213016652,-7.9605728071006014,0.8119558840800458,0.65,0.43646076016809204,0.0,0.42676187289560896,0.5351825877043619,0.43714549056339685,0.27243701184065716,0.38256738923682165,66.39926810633797,51.98361474783032,14.41565335850764,0.7964463919401169
mistral,few-shot,R4,0.1,0.85,1.05,256.0,39.26160188789177,12.500979018094585,84.53874210814061,88.31434213016652,-3.7756000220259116,1.5521264814998534,1.2,0.3870697673492477,0.0,0.4938990754854665,0.32936499184880147,0.4442514461234711,0.2575659784539885,0.39201674972086825,59.26216369619319,51.98361474783032,7.278548948362866,0.7833426773548127
mistral,few-shot,R4,0.1,0.85,1.1,256.0,39.77102374408741,11.54461696547684,87.18222175822282,88.31434213016652,-1.1321203719436794,1.4893389355330737,0.65,0.42965536527593945,0.0,0.4804894684564355,0.3339165909077012,0.43830337434375916,0.2419869032017646,0.3718074081378369,58.36334594512131,51.98361474783032,6.37973119729098,0.7835008025169372
mistral,few-shot,R4,0.1,0.85,1.15,256.0,39.94457998357374,10.430313261066152,84.04784754959593,88.31434213016652,-4.266494580570587,1.6107726139891507,0.85,0.4079871817384973,0.0,0.5303004001085453,0.3879009907093496,0.41424886136153594,0.22169245023186926,0.3542879907073348,56.46024314189873,51.98361474783032,4.476628394068402,0.7777281075716018
mistral,few-shot,R4,0.1,0.9,1.05,256.0,38.012698212074675,11.554932921713382,86.373986404609,88.31434213016652,-1.9403557255575101,1.4634411777106453,0.65,0.41790191511785774,0.0,0.45987305017590946,0.3261379062029883,0.44638635687002076,0.24446121700403095,0.3744215473586313,57.405699154270316,51.98361474783032,5.422084406439987,0.785570228099823
mistral,few-shot,R4,0.1,0.9,1.1,256.0,38.178094325107864,10.96277188470685,85.40940647277323,88.31434213016652,-2.904935657393286,1.4335634762315779,0.6,0.4088816288399868,0.0,0.47596188800212225,0.3345129599393238,0.4237977847355306,0.23084539352015304,0.34797904299779586,54.8215828259291,51.98361474783032,2.8379680780987764,0.7825208216905594
mistral,few-shot,R4,0.1,0.9,1.15,256.0,39.91743296733159,10.338879034989095,83.08930081337601,88.31434213016652,-5.225041316790493,1.6264020921773887,0.8,0.3587842630200714,0.0,0.5416098940015449,0.3674391875354501,0.4174777239241686,0.21852533216454012,0.3577673344675337,54.437435310934845,51.98361474783032,2.4538205631045242,0.775058576464653
mistral,few-shot,R4,0.2,0.85,1.05,256.0,39.044462049182656,11.810155023838986,86.7208699062983,88.31434213016652,-1.593472223868209,1.5196764501017492,0.75,0.4183541368771418,0.0,0.4657210702549398,0.32739943571528796,0.43109683537169896,0.24291340856355417,0.37393037352311914,59.689277326836645,51.98361474783032,7.705662579006322,0.7889369696378707
mistral,few-shot,R4,0.2,0.85,1.1,256.0,39.381729925516986,11.818992492135186,81.93502660258943,88.31434213016652,-6.3793155275770745,1.485382496907516,0.75,0.3848251097443959,0.0,0.5050454769886772,0.35222218885319934,0.4437049272759374,0.2510025175221787,0.3740978390999814,54.156220349494085,51.98361474783032,2.1726056016637614,0.7829893946647644
