model_key,prompt_type,ruleset,gen_temperature,gen_top_p,gen_repetition_penalty,gen_max_new_tokens,sari,bleu,fernandez_huerta_pred,fernandez_huerta_src,fernandez_huerta_delta,compression_ratio_eval,sentence_splits,levenshtein_similarity,exact_copy,additions_proportion,deletions_proportion,rouge1_f,rouge2_f,rougeL_f,inflesz_pred,inflesz_src,inflesz_delta,bertscore_f1
llama3,few-shot,R0,0.2,0.85,1.1,256.0,40.09602975746312,14.038279525687628,82.63740880537102,88.31434213016652,-5.6769333247954865,0.7555818387774672,0.55,0.5267235597522179,0.0,0.32045114841276845,0.49428699259077824,0.4484387748396049,0.2659834699160153,0.3829606321760587,68.32911275072902,51.98361474783032,16.345498002898704,0.7986737579107285
llama3,few-shot,R0,0.3,0.9,1.15,256.0,41.34974834611203,13.851484294167951,83.20393008272968,88.31434213016652,-5.110412047436826,0.805130809244839,0.6,0.49155991208789285,0.0,0.3649047647434387,0.49778184308520457,0.4483411715050013,0.2644781117297735,0.38086759494079214,66.65313947651586,51.98361474783032,14.669524728685545,0.8036565005779266
llama3,few-shot,R4,0.2,0.85,1.1,256.0,43.06669094085394,16.676595355816563,83.98971241452475,88.31434213016652,-4.3246297156417715,0.7627047703093639,0.6,0.46634511029356346,0.0,0.3568776078932104,0.500578210651707,0.454334752803656,0.2883685174681093,0.39604855208976203,70.09709849631452,51.98361474783032,18.11348374848419,0.7978787302970887
llama3,few-shot,R4,0.3,0.9,1.15,256.0,41.64570338749421,12.850459997563656,84.42525621883438,88.31434213016652,-3.889085911332141,0.8135981712177134,0.7,0.4720440626065699,0.0,0.4287507087613962,0.5528296359297256,0.4384980819865607,0.240392597193757,0.36783274200884525,69.17780450476765,51.98361474783032,17.194189756937323,0.7942200094461441
llama3,zero-shot,R0,0.2,0.85,1.1,256.0,39.586209627977546,11.14101888574241,84.41086378685496,88.31434213016652,-3.903478343311548,0.7466911261474325,0.7,0.4492317690213789,0.0,0.438668491072358,0.5836392500101407,0.4098874239126837,0.2274596800605832,0.3443220820747761,71.77099350791713,51.98361474783032,19.787378760086803,0.784801009297371
llama3,zero-shot,R0,0.3,0.9,1.15,256.0,37.27096207452742,9.371983547834478,85.41250113288939,88.31434213016652,-2.901840997277117,0.7864028325875527,0.75,0.41679396657099355,0.0,0.5098618710709216,0.6135351756772307,0.38548347499600155,0.19849894704390747,0.3135964780961317,73.51380933001869,51.98361474783032,21.53019458218836,0.7841762453317642
llama3,zero-shot,R4,0.2,0.85,1.1,256.0,40.4124860315476,11.292995013550726,84.69671906232762,88.31434213016652,-3.617623067838892,0.8123853441035248,0.8,0.47519013213939526,0.0,0.44917936068059755,0.5602818115020203,0.4453006359347258,0.24433407691666154,0.38415374185476364,72.00326470645152,51.98361474783032,20.019649958621187,0.7973360270261765
llama3,zero-shot,R4,0.3,0.9,1.15,256.0,37.75711986958828,8.612471432051565,82.90462799306057,88.31434213016652,-5.409714137105941,0.819981629546078,1.0,0.4006197733277868,0.0,0.5307547774960433,0.6186268900016646,0.38439210345196845,0.1901964802705532,0.33301205859248256,70.22681510373363,51.98361474783032,18.243200355903312,0.777573186159134
mistral,few-shot,R0,0.2,0.85,1.1,256.0,40.67498946497479,13.45488635450948,79.8520242320449,88.31434213016652,-8.462317898121617,1.3222176196361861,0.95,0.4622786556930807,0.0,0.45722151568108116,0.3462047049179931,0.4726942129662465,0.2808256358376132,0.4075379372604777,54.64072384741792,51.98361474783032,2.6571090995875957,0.7947430670261383
mistral,few-shot,R0,0.3,0.9,1.15,256.0,37.95515707051968,11.121761067977335,82.60511029159319,88.31434213016652,-5.709231838573325,1.501684138957183,1.05,0.39918021606798487,0.0,0.5125531876966065,0.37304415384407996,0.4113561067191388,0.23153928372354154,0.3612453639074519,56.825933992997605,51.98361474783032,4.84231924516728,0.7810740917921066
