model_key,config_label,ruleset,gen_temperature,gen_top_p,gen_repetition_penalty,gen_max_new_tokens,sari,bleu,fernandez_huerta_pred,fernandez_huerta_src,fernandez_huerta_delta,compression_ratio_eval,sentence_splits,levenshtein_similarity,exact_copy,additions_proportion,deletions_proportion,rouge1_f,rouge2_f,rougeL_f,inflesz_pred,inflesz_src,inflesz_delta,bertscore_f1
llama3,llama3_cfg_1,R0,0.2,0.85,1.05,256.0,40.141861947450934,15.4302957487556,87.04980531989608,88.31434213016652,-1.2645368102704395,0.7652340713525766,0.6,0.5570164519196841,0.0,0.24706406218094396,0.4282078701293308,0.4965897857960201,0.2960888725700343,0.42279346744279184,72.07219812783107,51.98361474783032,20.08858338000075,0.8080211013555527
llama3,llama3_cfg_1,R1,0.2,0.85,1.05,256.0,40.85811609323928,15.578270266996544,83.06304233577269,88.31434213016652,-5.251299794393817,0.7634245585994289,0.65,0.5484689491071879,0.0,0.300490855961232,0.47568393669076003,0.4691214296112136,0.290455066285738,0.4058185711739166,68.21549514616237,51.98361474783032,16.231880398332045,0.8025255411863327
llama3,llama3_cfg_1,R2,0.2,0.85,1.05,256.0,42.21884190532101,17.534298908494026,86.00071226383713,88.31434213016652,-2.3136298663293844,0.7612649065859755,0.65,0.5437165249293112,0.0,0.26453364842346627,0.4434086059520571,0.49798404107873234,0.318418106154654,0.44355794694640266,71.51963942834352,51.98361474783032,19.5360246805132,0.807976508140564
llama3,llama3_cfg_1,R3,0.2,0.85,1.05,256.0,40.88539978653409,15.258564715744594,86.7905103849703,88.31434213016652,-1.5238317451962087,0.7462179903639294,0.7,0.5249708981857104,0.0,0.28970246432136243,0.4767054344415792,0.47274416441920125,0.2829900666831393,0.4035278324285903,73.18270138068995,51.98361474783032,21.199086632859622,0.8002779394388199
llama3,llama3_cfg_1,R4,0.2,0.85,1.05,256.0,41.435601468807754,15.959837122909132,85.39564721656053,88.31434213016652,-2.918694913605976,0.7861525074759517,0.8,0.5234478335186513,0.0,0.29021161930604655,0.4497171319691482,0.49214960508946265,0.29088054992600754,0.4210036576064361,71.68793042580486,51.98361474783032,19.70431567797453,0.8058062970638276
llama3,llama3_cfg_2,R0,0.2,0.9,1.1,256.0,43.08027946604526,15.378169002151598,81.42422618286687,88.31434213016652,-6.890115947299631,0.8077180211135069,0.7,0.5235368259370501,0.0,0.32519312388421173,0.46997802495771557,0.4899883371195869,0.2999048431343014,0.4116650635964948,66.51750535034076,51.98361474783032,14.53389060251043,0.8030352979898453
llama3,llama3_cfg_2,R1,0.2,0.9,1.1,256.0,41.37178814096412,13.733112464346556,83.20253188826139,88.31434213016652,-5.111810241905129,0.7737915022024998,0.55,0.5098485316669394,0.0,0.34840605097087296,0.5027846397588197,0.46417751326708406,0.2738312107486281,0.3915995437753056,68.27610083712514,51.98361474783032,16.292486089294805,0.7989408910274506
llama3,llama3_cfg_2,R2,0.2,0.9,1.1,256.0,41.21908985852456,13.408150332668072,83.175335562905,88.31434213016652,-5.139006567261513,0.7915597223524021,0.6,0.4822346856737287,0.0,0.3877770124151169,0.5267025641967392,0.45983681009583605,0.25725716959374206,0.38256872191354835,68.49692250261934,51.98361474783032,16.513307754789018,0.7923703998327255
llama3,llama3_cfg_2,R3,0.2,0.9,1.1,256.0,41.1142412574468,13.818543812281757,81.77608157537338,88.31434213016652,-6.538260554793132,0.7497849717478541,0.6,0.4967948416801657,0.0,0.36993134295185376,0.5302855372877844,0.4513923626994127,0.2790603470457758,0.380980342909617,69.20010135735582,51.98361474783032,17.216486609525496,0.7968443125486374
llama3,llama3_cfg_2,R4,0.2,0.9,1.1,256.0,39.419633677877734,13.29380051382403,83.7103825283854,88.31434213016652,-4.603959601781126,0.7780400219937145,0.6,0.502895058373084,0.0,0.38581853422182844,0.5202731835562122,0.42388343264732936,0.2481939526705271,0.36964852585860275,69.72471263723405,51.98361474783032,17.741097889403726,0.7907137542963028
llama3,llama3_cfg_3,R0,0.3,0.9,1.15,256.0,41.65815919710591,13.296023093839812,84.07181494608304,88.31434213016652,-4.242527184083465,0.8024354731851882,0.6,0.513709851482117,0.0,0.36272756504161546,0.49390566796065194,0.4674941467113434,0.26709636406001075,0.3789773300413516,68.83008093890496,51.98361474783032,16.846466191074633,0.7972139269113541
llama3,llama3_cfg_3,R1,0.3,0.9,1.15,256.0,42.88005203397951,14.297969262780137,82.16516069618946,88.31434213016652,-6.149181433977059,0.8616919719454137,0.7,0.46554842141215697,0.0,0.39192545767442927,0.48146674661370953,0.4772117601436907,0.2841981347718528,0.4172461243965146,64.3554830922927,51.98361474783032,12.371868344462367,0.8071358233690262
llama3,llama3_cfg_3,R2,0.3,0.9,1.15,256.0,41.3867455038005,12.659063906895977,81.61615573868502,88.31434213016652,-6.69818639148148,0.8022158742463255,0.65,0.46183239889197764,0.0,0.4004836675189355,0.5275522359759705,0.4394946532217373,0.2490831966351216,0.36820526578596613,67.96877470883653,51.98361474783032,15.985159961006204,0.7943775206804276
llama3,llama3_cfg_3,R3,0.3,0.9,1.15,256.0,40.620749494176906,11.56909078511735,84.60880733419688,88.31434213016652,-3.7055347959696205,0.7897809686224088,0.75,0.47741503209218844,0.0,0.4307946438520017,0.5545363538392614,0.4153519620526881,0.2358066474080601,0.34193553298409457,72.06989675087793,51.98361474783032,20.086282003047607,0.7866055339574813
llama3,llama3_cfg_3,R4,0.3,0.9,1.15,256.0,39.680586247538,11.354206097563415,83.40770280640662,88.31434213016652,-4.906639323759892,0.7879629917023108,0.5,0.4680660013724112,0.0,0.45277262826030673,0.5726273949841227,0.4052435314976475,0.22493159982381505,0.3358729607076781,68.38291897157629,51.98361474783032,16.399304223745954,0.7833481848239898
mistral,mistral_cfg_1,R0,0.3,0.9,1.1,256.0,39.84243417592772,13.1401589214745,83.6362061205462,88.31434213016652,-4.678136009620311,1.4055310837426005,0.75,0.44028186380445106,0.0,0.4635003778243968,0.3419186572072602,0.4519960576680869,0.26797496347220906,0.399651359194165,56.84281849334586,51.98361474783032,4.859203745515535,0.7850923150777817
mistral,mistral_cfg_1,R1,0.3,0.9,1.1,256.0,40.2392510185799,11.886536409934017,82.46858505733645,88.31434213016652,-5.8457570728300565,1.4091288160180988,1.1,0.48878364450976186,0.0,0.48942417718824005,0.35930595658919345,0.44705515035906523,0.2566143444247552,0.39772180313797295,58.01692646593027,51.98361474783032,6.03331171809995,0.7899058997631073
mistral,mistral_cfg_1,R2,0.3,0.9,1.1,256.0,39.29110687115755,11.802504979098156,82.44365168006655,88.31434213016652,-5.870690450099969,1.3817571031662643,0.8,0.4654341497700856,0.0,0.4629477248737512,0.3413159107694882,0.4676342308166889,0.2708377561673942,0.4061580513056485,56.31776956437288,51.98361474783032,4.334154816542563,0.7912096351385116
mistral,mistral_cfg_1,R3,0.3,0.9,1.1,256.0,40.18387690755196,10.970210815754479,85.65413768935377,88.31434213016652,-2.660204440812734,1.5744977492700027,0.8,0.4176535895198419,0.0,0.51558940053072,0.35185117242568786,0.4269636185518718,0.2416185152935632,0.37701459948368676,56.78238617506649,51.98361474783032,4.7987714272361695,0.7821228265762329
