model_key,ruleset,sari,fernandez_huerta_pred,fernandez_huerta_src,fernandez_huerta_delta,compression_ratio_eval,sentence_splits,levenshtein_similarity,exact_copy,additions_proportion,deletions_proportion,inflesz_pred,inflesz_src,inflesz_delta
llama3,R0,40.85751723683492,81.44973178138578,88.31434213016652,-6.8646103487807295,0.8098272723099142,0.65,0.5159883380016888,0.0,0.3811319095773886,0.49835390121926065,66.12378980736385,51.98361474783032,14.140175059533522
llama3,R1,42.89926266729016,81.1979166217165,88.31434213016652,-7.116425508450016,0.8615557076959,0.65,0.48571201418644716,0.0,0.3951509816408795,0.4812775420191242,64.86224103811499,51.98361474783032,12.878626290284663
llama3,R2,40.66655244076458,83.3446843493514,88.31434213016652,-4.969657780815123,0.7861622360211211,0.425,0.47354099225565083,0.0,0.4034236787292693,0.5382925205423544,66.49490940780032,51.98361474783032,14.511294659969996
llama3,R3,42.18627501514944,82.2804369440274,88.31434213016652,-6.03390518613912,0.7949251369302088,0.525,0.4922640627448088,0.0,0.39708883665158373,0.5239321103172243,66.511800196397,51.98361474783032,14.528185448566683
llama3,R4,42.37755397791834,82.78034053183542,88.31434213016652,-5.534001598331099,0.7450747619931284,0.55,0.4877361349956345,0.0,0.3575518636202718,0.5220557212841179,68.60527512639176,51.98361474783032,16.621660378561433
mistral,R0,40.27304221852767,83.18466765558341,88.31434213016652,-5.129674474583092,1.4253908929766823,0.9,0.4359861430699377,0.0,0.48609500845303827,0.35101920216621546,57.70685435674193,51.98361474783032,5.7232396089116016
mistral,R1,40.765374911775424,80.74998832382059,88.31434213016652,-7.564353806345929,1.7399557711652789,1.275,0.3968156742384391,0.0,0.5286779365298966,0.3450915861565896,54.01683161379466,51.98361474783032,2.033216865964338
mistral,R2,38.02292744225129,83.36075422461144,88.31434213016652,-4.953587905555067,1.600443492950776,1.05,0.40074764621794196,0.0,0.5268432107961218,0.38811695749058134,57.45543018159596,51.98361474783032,5.471815433765632
mistral,R3,40.154077420655554,82.54921911644664,88.31434213016652,-5.765123013719875,1.6187763237374253,1.0,0.3665136464344459,0.0,0.5362162947908639,0.3648960212376472,56.20922301131068,51.98361474783032,4.225608263480353
mistral,R4,39.329369710396065,81.11034240030386,88.31434213016652,-7.203999729862652,1.8153595428439835,1.15,0.3452645760558993,0.0,0.5499147636084151,0.34949817531787564,56.198411925229344,51.98361474783032,4.214797177399014
