model_key,ruleset,sari,bleu,fernandez_huerta_pred,fernandez_huerta_src,fernandez_huerta_delta,compression_ratio_eval,sentence_splits,levenshtein_similarity,exact_copy,additions_proportion,deletions_proportion,rouge1_f,rouge2_f,rougeL_f,inflesz_pred,inflesz_src,inflesz_delta,bertscore_f1
llama3,R0,40.84453917062501,13.227043092789618,82.99477836815115,88.31434213016652,-5.319563762015375,0.8397459460384153,0.575,0.5087049452935606,0.0,0.3688414040635908,0.4843133274447675,0.45179189579004175,0.2636552566095969,0.3824562498073799,64.89544982678296,51.98361474783032,12.911835078952635,0.8004134640097618
llama3,R1,41.83914398657409,14.190098968001772,82.60660018915426,88.31434213016652,-5.707741941012249,0.7810285214759304,0.65,0.4881201198181418,0.0,0.3751951492767602,0.5187732331756936,0.46135422704740564,0.2731629063403946,0.39565339481100975,68.13038870899126,51.98361474783032,16.146773961160935,0.7976320713758469
llama3,R2,41.73067158652211,13.811681846421516,82.7691171482987,88.31434213016652,-5.545224981867802,0.794578575708961,0.55,0.47263354016081555,0.0,0.37395079752203786,0.5237622605145705,0.4585209842984953,0.2593671632792211,0.3791804854438544,69.2371067300985,51.98361474783032,17.25349198226818,0.7949958011507988
llama3,R3,40.24371635108548,11.799648657568813,81.0195172914007,88.31434213016652,-7.294824838765814,0.7817350431313728,0.75,0.451866924098628,0.0,0.40433330340372925,0.5463839180340473,0.42354612839642564,0.2363222715673813,0.35650511522624406,69.95731337964982,51.98361474783032,17.97369863181949,0.7868981853127479
llama3,R4,40.551405136091105,13.427652146469384,83.68711240907216,88.31434213016652,-4.627229721094356,0.7590310891793305,0.6,0.4551078172733818,0.0,0.3914705093400771,0.5449493211989784,0.42028801552944134,0.24179293260268286,0.36069062714099237,71.70074832632109,51.98361474783032,19.717133578490767,0.7884932234883308
mistral,R0,39.48980075798576,11.310747068957324,81.22330179646188,88.31434213016652,-7.0910403337046315,1.4401795888864357,0.975,0.422997937392001,0.0,0.5041766775117136,0.36176710871834283,0.43270381841137295,0.24859416466556206,0.37492207078715606,55.874481023207274,51.98361474783032,3.8908662753769407,0.7808601096272468
mistral,R1,38.58110999519729,9.816048288973285,83.08725496080862,88.31434213016652,-5.227087169357883,1.8831921734246684,1.25,0.350795788182856,0.0,0.5504980241413081,0.3615250682176935,0.3934503542275503,0.21201734231034805,0.3358182398242773,56.19743891676726,51.98361474783032,4.213824168936934,0.7693011879920959
mistral,R2,39.50009827169014,10.85790353835338,81.78428775515344,88.31434213016652,-6.530054375013071,1.5843057591616998,0.9,0.3994411222493989,0.0,0.48926915330263654,0.35844554949771484,0.42339484747014877,0.22194153403249653,0.36597040604134257,51.93176265272139,51.98361474783032,-0.05185209510893536,0.7822781965136528
mistral,R3,39.22059637943189,9.864114368969965,80.47548411690347,88.31434213016652,-7.838858013263038,1.5210200003008176,1.125,0.38258122945943607,0.0,0.5203670376749402,0.3615688760923753,0.4220847802375678,0.22122928792648958,0.3524272846550127,56.91595067829739,51.98361474783032,4.932335930467067,0.7752274706959724
mistral,R4,38.75632979759155,10.936901607364314,80.07164265883077,88.31434213016652,-8.242699471335753,1.547578224169834,0.95,0.4069246752639839,0.0,0.5033443638192915,0.35422877680083775,0.42757498615603745,0.2258685894808135,0.37324440350249316,52.937640582482835,51.98361474783032,0.9540258346525075,0.7810187324881553
